,artist_name,track_name,track_id,popularity,artist_id,artists_id,artists_names,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
192,Cheat Codes,Lean On Me,5acSb48zFAcXTdL5Wsk8xx,79,7DMveApC7UnC2NPfPvlHSU,"['7DMveApC7UnC2NPfPvlHSU', '0NIIxcxNHmOoyBx03SfTCD']","['Cheat Codes', 'Tinashe']",2021,dance pop,0.686,0.738,9,-5.802,1,0.287,0.0703,0.0,0.0505,0.45,101.829,audio_features,5acSb48zFAcXTdL5Wsk8xx,spotify:track:5acSb48zFAcXTdL5Wsk8xx,https://api.spotify.com/v1/tracks/5acSb48zFAcXTdL5Wsk8xx,https://api.spotify.com/v1/audio-analysis/5acSb48zFAcXTdL5Wsk8xx,149857,4
32904,Little Mix,Woman Like Me (feat. Nicki Minaj),222B3aljXx6fFwKmFjuBED,74,3e7awlrlDSwF3iM0WBjGMp,"['3e7awlrlDSwF3iM0WBjGMp', '0hCNtLu0JehylgoiP8L4Gh']","['Little Mix', 'Nicki Minaj']",2018,pop,0.754,0.854,5,-3.449,0,0.0608,0.177,0.0,0.0808,0.8,75.002,audio_features,222B3aljXx6fFwKmFjuBED,spotify:track:222B3aljXx6fFwKmFjuBED,https://api.spotify.com/v1/tracks/222B3aljXx6fFwKmFjuBED,https://api.spotify.com/v1/audio-analysis/222B3aljXx6fFwKmFjuBED,229720,4
53832,Washed Out,Paralyzed,2d2m42nvgle3mo5idT6Zdq,51,5juOkIIy18sFw9L30syt1Z,['5juOkIIy18sFw9L30syt1Z'],['Washed Out'],2020,indie rock,0.416,0.849,0,-5.143,0,0.147,0.425,0.188,0.103,0.532,157.966,audio_features,2d2m42nvgle3mo5idT6Zdq,spotify:track:2d2m42nvgle3mo5idT6Zdq,https://api.spotify.com/v1/tracks/2d2m42nvgle3mo5idT6Zdq,https://api.spotify.com/v1/audio-analysis/2d2m42nvgle3mo5idT6Zdq,201245,4
39368,The 1975,This Must Be My Dream,6OPOa3qlKoDUzGpS8MrcLi,52,3mIj9lX2MWuHmhNCA7LSCW,['3mIj9lX2MWuHmhNCA7LSCW'],['The 1975'],2016,modern alternative rock,0.592,0.84,9,-4.697,1,0.0364,0.0193,0.000191,0.327,0.679,103.026,audio_features,6OPOa3qlKoDUzGpS8MrcLi,spotify:track:6OPOa3qlKoDUzGpS8MrcLi,https://api.spotify.com/v1/tracks/6OPOa3qlKoDUzGpS8MrcLi,https://api.spotify.com/v1/audio-analysis/6OPOa3qlKoDUzGpS8MrcLi,252480,4
33768,The National Parks,You Are Gold,2AcN6OGdjrnvNNoLTLFSy6,55,2JMtxA2S9SNUlqBlkDtXm6,['2JMtxA2S9SNUlqBlkDtXm6'],['The National Parks'],2015,pop rock,0.43,0.133,8,-13.512,1,0.0311,0.874,0.000322,0.113,0.16,107.916,audio_features,2AcN6OGdjrnvNNoLTLFSy6,spotify:track:2AcN6OGdjrnvNNoLTLFSy6,https://api.spotify.com/v1/tracks/2AcN6OGdjrnvNNoLTLFSy6,https://api.spotify.com/v1/audio-analysis/2AcN6OGdjrnvNNoLTLFSy6,216653,4
40847,Miguel Bosé,Dime qué diré - MTV Unplugged,10kwvMUOYVZhrJ61UtMdcT,44,7mWCSSOYqm4E9mB7V4ot6S,['7mWCSSOYqm4E9mB7V4ot6S'],['Miguel Bosé'],2016,spanish pop,0.648,0.434,0,-13.522,0,0.0708,0.857,2.2e-06,0.721,0.603,125.002,audio_features,10kwvMUOYVZhrJ61UtMdcT,spotify:track:10kwvMUOYVZhrJ61UtMdcT,https://api.spotify.com/v1/tracks/10kwvMUOYVZhrJ61UtMdcT,https://api.spotify.com/v1/audio-analysis/10kwvMUOYVZhrJ61UtMdcT,206027,4
2883,Loud Luxury,Amnesia (feat. GASHI),1xvh5ujI8fogjmadcLmLBZ,62,6t1gpxYbY8OlLA7D2RiikQ,"['6t1gpxYbY8OlLA7D2RiikQ', '1ic0FHNGIjXZAWH6O6Reif', '0JOxt5QOwq0czoJxvSc5hS']","['Loud Luxury', 'Ship Wrek', 'GASHI']",2021,tropical house,0.745,0.839,11,-6.654,0,0.0489,0.0454,3.09e-05,0.0882,0.226,124.021,audio_features,1xvh5ujI8fogjmadcLmLBZ,spotify:track:1xvh5ujI8fogjmadcLmLBZ,https://api.spotify.com/v1/tracks/1xvh5ujI8fogjmadcLmLBZ,https://api.spotify.com/v1/audio-analysis/1xvh5ujI8fogjmadcLmLBZ,193548,4
31964,Los Alegres Del Barranco,Yo Te Adverti,1E6PNNkNtz0vAYOpSYNLmL,51,2TSslwx9J30KElgEr68sdv,['2TSslwx9J30KElgEr68sdv'],['Los Alegres Del Barranco'],2018,norteno,0.779,0.665,0,-5.897,1,0.0387,0.512,2.78e-05,0.0993,0.916,90.49,audio_features,1E6PNNkNtz0vAYOpSYNLmL,spotify:track:1E6PNNkNtz0vAYOpSYNLmL,https://api.spotify.com/v1/tracks/1E6PNNkNtz0vAYOpSYNLmL,https://api.spotify.com/v1/audio-analysis/1E6PNNkNtz0vAYOpSYNLmL,164049,4
31911,NCT DREAM,Drippin',5ZbwJYmRtJe5Uy9nFkki8W,58,1gBUSTR3TyDdTVFIaQnc02,['1gBUSTR3TyDdTVFIaQnc02'],['NCT DREAM'],2018,k-pop boy group,0.715,0.89,8,-5.944,1,0.175,0.197,0.0,0.164,0.884,144.951,audio_features,5ZbwJYmRtJe5Uy9nFkki8W,spotify:track:5ZbwJYmRtJe5Uy9nFkki8W,https://api.spotify.com/v1/tracks/5ZbwJYmRtJe5Uy9nFkki8W,https://api.spotify.com/v1/audio-analysis/5ZbwJYmRtJe5Uy9nFkki8W,197773,4
33468,Fetty Wap,RGF Island,1iuljeYz6ZG3GTJOZZkoer,62,6PXS4YHDkKvl1wkIl4V8DL,['6PXS4YHDkKvl1wkIl4V8DL'],['Fetty Wap'],2015,pop rap,0.746,0.764,0,-5.066,0,0.0423,0.00116,8.19e-06,0.0867,0.518,137.98,audio_features,1iuljeYz6ZG3GTJOZZkoer,spotify:track:1iuljeYz6ZG3GTJOZZkoer,https://api.spotify.com/v1/tracks/1iuljeYz6ZG3GTJOZZkoer,https://api.spotify.com/v1/audio-analysis/1iuljeYz6ZG3GTJOZZkoer,173893,4
